Shipping way: SZEUB;1; $2,00 
                         Region Weight(g);Brazil; Brazil 
;USD; USD?Final Price) 
;9  ?; 9?+$0.7??? 
1-10;4,94; $5,76 
11-20;4,94; $5,76 
21-30;4,94; $5,76 
31-40;4,94; $5,76 
41-50;4,94; $5,76 
51-60;5,08; $5,91 
61-70;5,23; $6,06 
71-80;5,37; $6,20 
81-90;5,52; $6,35 
91-100;5,66; $6,50 
101-110;5,8; $6,65 
111-120;5,95; $6,79 
121-130;6,09; $6,94 
131-140;6,23; $7,09 
141-150;6,38; $7,24 
151-160;6,52; $7,38 
161-170;6,67; $7,53 
171-180;6,81; $7,68 
181-190;6,95; $7,82 
191-200;7,1; $7,97 
201-210;7,24; $8,12 
211-220;7,38; $8,27 
221-230;7,53; $8,41 
231-240;7,67; $8,56 
241-250;7,82; $8,71 
251-260;7,96; $8,86 
261-270;8,1; $9,00 
271-280;8,25; $9,15 
281-290;8,39; $9,30 
291-300;8,53; $9,44 
301-310;8,68; $9,59 
311-320;8,82; $9,74 
321-330;8,97; $9,89 
331-340;9,11; $10,03 
341-350;9,25; $10,18 
351-360;9,4; $10,33 
361-370;9,54; $10,47 
371-380;9,68; $10,62 
381-390;9,83; $10,77 
391-400;9,97; $10,92 
401-410;10,12; $11,06 
411-420;10,26; $11,21 
421-430;10,4; $11,36 
431-440;10,55; $11,51 
441-450;10,69; $11,65 
451-460;10,83; $11,80 
461-470;10,98; $11,95 
471-480;11,12; $12,09 
481-490;11,26; $12,24 
491-500;11,41; $12,39 
501-510;11,55; $12,54 
511-520;11,7; $12,68 
521-530;11,84; $12,83 
531-540;11,98; $12,98 
541-550;12,13; $13,13 
551-560;12,27; $13,27 
561-570;12,41; $13,42 
571-580;12,56; $13,57 
581-590;12,7; $13,71 
591-600;12,85; $13,86 
601-610;12,99; $14,01 
611-620;13,13; $14,16 
621-630;13,28; $14,30 
631-640;13,42; $14,45 
641-650;13,56; $14,60 
651-660;13,71; $14,75 
661-670;13,85; $14,89 
671-680;14; $15,04 
681-690;14,14; $15,19 
691-700;14,28; $15,33 
701-710;14,43; $15,48 
711-720;14,57; $15,63 
721-730;14,71; $15,78 
731-740;14,86; $15,92 
741-750;15; $16,07 
751-760;15,15; $16,22 
761-770;15,29; $16,37 
771-780;15,43; $16,51 
781-790;15,58; $16,66 
791-800;15,72; $16,81 
801-810;15,86; $16,95 
811-820;16,01; $17,10 
821-830;16,15; $17,25 
831-840;16,3; $17,40 
841-850;16,44; $17,54 
851-860;16,58; $17,69 
861-870;16,73; $17,84 
871-880;16,87; $17,99 
881-890;17,01; $18,13 
891-900;17,16; $18,28 
901-910;17,3; $18,43 
911-920;17,45; $18,57 
921-930;17,59; $18,72 
931-940;17,73; $18,87 
941-950;17,88; $19,02 
951-960;18,02; $19,16 
961-970;18,16; $19,31 
971-980;18,31; $19,46 
981-990;18,45; $19,61 
991-1000;18,6; $19,75 
1001-1010;18,74; $19,90 
1011-1020;18,88; $20,05 
1021-1030;19,03; $20,19 
1031-1040;19,17; $20,34 
1041-1050;19,31; $20,49 
1051-1060;19,46; $20,64 
1061-1070;19,6; $20,78 
1071-1080;19,74; $20,93 
1081-1090;19,89; $21,08 
1091-1100;20,03; $21,23 
1101-1110;20,18; $21,37 
1111-1120;20,32; $21,52 
1121-1130;20,46; $21,67 
1131-1140;20,61; $21,81 
1141-1150;20,75; $21,96 
1151-1160;20,89; $22,11 
1161-1170;21,04; $22,26 
1171-1180;21,18; $22,40 
1181-1190;21,33; $22,55 
1191-1200;21,47; $22,70 
1201-1210;21,61; $22,85 
1211-1220;21,76; $22,99 
1221-1230;21,9; $23,14 
1231-1240;22,04; $23,29 
1241-1250;22,19; $23,43 
1251-1260;22,33; $23,58 
1261-1270;22,48; $23,73 
1271-1280;22,62; $23,88 
1281-1290;22,76; $24,02 
1291-1300;22,91; $24,17 
1301-1310;23,05; $24,32 
1311-1320;23,19; $24,46 
1321-1330;23,34; $24,61 
1331-1340;23,48; $24,76 
1341-1350;23,63; $24,91 
1351-1360;23,77; $25,05 
1361-1370;23,91; $25,20 
1371-1380;24,06; $25,35 
1381-1390;24,2; $25,50 
1391-1400;24,34; $25,64 
1401-1410;24,49; $25,79 
1411-1420;24,63; $25,94 
1421-1430;24,78; $26,08 
1431-1440;24,92; $26,23 
1441-1450;25,06; $26,38 
1451-1460;25,21; $26,53 
1461-1470;25,35; $26,67 
1471-1480;25,49; $26,82 
1481-1490;25,64; $26,97 
1491-1500;25,78; $27,12 
1501-1510;25,93; $27,26 
1511-1520;26,07; $27,41 
1521-1530;26,21; $27,56 
1531-1540;26,36; $27,70 
1541-1550;26,5; $27,85 
1551-1560;26,64; $28,00 
1561-1570;26,79; $28,15 
1571-1580;26,93; $28,29 
1581-1590;27,08; $28,44 
1591-1600;27,22; $28,59 
1601-1610;27,36; $28,74 
1611-1620;27,51; $28,88 
1621-1630;27,65; $29,03 
1631-1640;27,79; $29,18 
1641-1650;27,94; $29,32 
1651-1660;28,08; $29,47 
1661-1670;28,22; $29,62 
1671-1680;28,37; $29,77 
1681-1690;28,51; $29,91 
1691-1700;28,66; $30,06 
1701-1710;28,8; $30,21 
1711-1720;28,94; $30,36 
1721-1730;29,09; $30,50 
1731-1740;29,23; $30,65 
1741-1750;29,37; $30,80 
1751-1760;29,52; $30,94 
1761-1770;29,66; $31,09 
1771-1780;29,81; $31,24 
1781-1790;29,95; $31,39 
1791-1800;30,09; $31,53 
1801-1810;30,24; $31,68 
1811-1820;30,38; $31,83 
1821-1830;30,52; $31,98 
1831-1840;30,67; $32,12 
1841-1850;30,81; $32,27 
1851-1860;30,96; $32,42 
1861-1870;31,1; $32,56 
1871-1880;31,24; $32,71 
1881-1890;31,39; $32,86 
1891-1900;31,53; $33,01 
1901-1910;31,67; $33,15 
1911-1920;31,82; $33,30 
1921-1930;31,96; $33,45 
1931-1940;32,11; $33,60 
1941-1950;32,25; $33,74 
1951-1960;32,39; $33,89 
1961-1970;32,54; $34,04 
1971-1980;32,68; $34,18 
1981-1990;32,82; $34,33 
1991-2000;32,97; $34,48 
